symbol,timestamp,timezone,open,high,low,close,volume,source_path
SPY,2025-04-10 15:25:00,US/Eastern,525.68,527.26,522.37,522.43,1750760,data/SPY/2025-04-11.json
SPY,2025-04-10 15:30:00,US/Eastern,522.47,525.68,521.78,523.965,1702055,data/SPY/2025-04-11.json
SPY,2025-04-10 15:35:00,US/Eastern,523.85,524.41,521.49,521.65,1935709,data/SPY/2025-04-11.json
SPY,2025-04-10 15:40:00,US/Eastern,521.66,522.6,518.2,518.8,2995685,data/SPY/2025-04-11.json
SPY,2025-04-10 15:45:00,US/Eastern,518.805,521.33,518.22,519.93,3388119,data/SPY/2025-04-11.json
SPY,2025-04-10 15:50:00,US/Eastern,519.9,525.66,519.6,525.23,5190835,data/SPY/2025-04-11.json
SPY,2025-04-10 15:55:00,US/Eastern,525.28,526.52,522.11,524.7,6406130,data/SPY/2025-04-11.json
SPY,2025-04-10 16:00:00,US/Eastern,524.67,543.87,523.346,525.98,6648715,data/SPY/2025-04-11.json
SPY,2025-04-10 16:05:00,US/Eastern,525.92,526.36,524.58,526.05,1243290,data/SPY/2025-04-11.json
SPY,2025-04-10 16:10:00,US/Eastern,524.58,526.64,524.58,526.5,7785816,data/SPY/2025-04-11.json
SPY,2025-04-10 16:15:00,US/Eastern,526.51,543.125,524.58,525.33,123137,data/SPY/2025-04-11.json
SPY,2025-04-10 16:20:00,US/Eastern,525.2983,525.319,524.57,524.67,1072646,data/SPY/2025-04-11.json
SPY,2025-04-10 16:25:00,US/Eastern,524.64,543.8155,524.38,524.4,379494,data/SPY/2025-04-11.json
SPY,2025-04-10 16:30:00,US/Eastern,524.4,542.255,490.35,524.41,51788,data/SPY/2025-04-11.json
SPY,2025-04-10 16:35:00,US/Eastern,524.42,545.965,487.305,524.13,105119,data/SPY/2025-04-11.json
SPY,2025-04-10 16:40:00,US/Eastern,524.155,571.2973,484.4092,523.885,130250,data/SPY/2025-04-11.json
SPY,2025-04-10 16:45:00,US/Eastern,523.86,580.397,427.57,524.51,106991,data/SPY/2025-04-11.json
SPY,2025-04-10 16:50:00,US/Eastern,524.51,525.09,524.46,525.09,92371,data/SPY/2025-04-11.json
SPY,2025-04-10 16:55:00,US/Eastern,525.075,525.199,524.81,525.16,120144,data/SPY/2025-04-11.json
SPY,2025-04-10 17:00:00,US/Eastern,525.13,525.3,524.975,525.09,31070,data/SPY/2025-04-11.json
SPY,2025-04-10 17:05:00,US/Eastern,525.05,525.1,524.58,525,98251,data/SPY/2025-04-11.json
SPY,2025-04-10 17:10:00,US/Eastern,525,525,524.9025,524.96,5890,data/SPY/2025-04-11.json
SPY,2025-04-10 17:15:00,US/Eastern,524.95,525.08,524.87,525,19226,data/SPY/2025-04-11.json
SPY,2025-04-10 17:20:00,US/Eastern,525,525.49,524.58,525.02,42487,data/SPY/2025-04-11.json
SPY,2025-04-10 17:25:00,US/Eastern,525.02,543.87,524.76,524.8983,27957,data/SPY/2025-04-11.json
SPY,2025-04-10 17:30:00,US/Eastern,524.89,524.97,524.76,524.79,1310,data/SPY/2025-04-11.json
SPY,2025-04-10 17:35:00,US/Eastern,524.79,524.83,524.53,524.65,10313,data/SPY/2025-04-11.json
SPY,2025-04-10 17:40:00,US/Eastern,524.59,524.6381,524.41,524.61,11168,data/SPY/2025-04-11.json
SPY,2025-04-10 17:45:00,US/Eastern,524.58,524.67,524.35,524.46,13397,data/SPY/2025-04-11.json
SPY,2025-04-10 17:50:00,US/Eastern,524.48,524.58,524.39,524.58,7492,data/SPY/2025-04-11.json
SPY,2025-04-10 17:55:00,US/Eastern,524.525,524.59,524.2,524.365,7131,data/SPY/2025-04-11.json
SPY,2025-04-10 18:00:00,US/Eastern,524.43,526.01,524.4,525.74,58867,data/SPY/2025-04-11.json
SPY,2025-04-10 18:05:00,US/Eastern,525.7601,526.33,525.74,526.24,30522,data/SPY/2025-04-11.json
SPY,2025-04-10 18:10:00,US/Eastern,526.2395,526.5983,526,526.05,15342,data/SPY/2025-04-11.json
SPY,2025-04-10 18:15:00,US/Eastern,526.05,526.47,525.76,525.76,8557,data/SPY/2025-04-11.json
SPY,2025-04-10 18:20:00,US/Eastern,525.755,525.8501,525.5,525.795,9215,data/SPY/2025-04-11.json
